id,NAME,WEBSITE,TAGLINE,ADDRESS,INDUSTRIES,URL,website,rating,num_review,description,detail
959982,Hedvig,https://www.hedvig.com/,A new approach to home insurance,"Valhallavägen 117K, 115 31 Stockholm, Sweden",fintech,,,,,,
1495445,BidFX,http://bidfx.com,BidFX is a leading cloud-based provider of electronic foreign exchange (FX) trading solutions for the global financial marketplace,"York House, 23 Kingsway, Holborn, London WC2B 6UJ, UK",fintech,,,,,,
1465860,EduMe,https://www.edume.com/,The most engaging and effective way to train your workforce or partners online,"Barley Mow Centre, 10 Barley Mow Passage, Chiswick, London W4 4PH, UK",education;enterprise software,,,,,,
980507,ToolSense,https://www.toolsense.io,"ToolSense is a connectivity and sensor-data-analytics for mobile, energy-critical tools","Gutheil-Schoder-Gasse 17, 1230 Wien, Austria",enterprise software,,,,,,
1464728,Buzzbike,http://buzzbike.cc,Buzzbike is an urban cycle scheme and technology business making it easy to try cycling,"Royle Studios, 41 Wenlock Rd, Hoxton, London N1 7SG",transportation;marketing,,,,,,
949082,Klassroom,https://klassroom.fr/,Mobile and web application that reinvents communication between parents and teachers,"255 Boulevard Pereire, 75017 Paris, France",education;kids,,,,,,
1458984,Oliver,http://www.tryoliver.com,Oliver,"Plaça de Pau Vila, 08039 Barcelona, Spain",sports,,,,,,
1478669,Clim8,http://myclim8.com,Clim8 is poised to stand at the forefront of intelligent thermal clothing,"23 Avenue Guy de Collongue Bâtiment C, 69130 Écully, France",sports,,,,,,
983953,Closed Loop Medicine,http://closedloopmedicine.com/,"New breed of therapeutics company focused on care pathways, outcomes and the provision of personalised regimens","Babraham Rd, Sawston, Cambridge CB22 3AT",health,,,,,,
898304,Planity,http://www.planity.com/,Online booking for beauty appointments,"66 Rue de la Chaussée d'Antin, 75009 Paris, France",wellness beauty,,,,,,
883590,Plum,https://withplum.com/,"The original personal finance bot to help you save, invest & more","Dysart St, London EC2A",fintech,,,,,,
892130,Brolly,http://heybrolly.com,AI insurance advisory app,"3-5 Spafield St, Farringdon, London EC1R 4QB",fintech,,,,,,
1512329,YEGO,http://www.rideyego.com/,BUILDING THE FUTURE OF MOBILITY TOGETHER!,"Carrer de Wellington, 94, 08018 Barcelona, Spain",transportation,,,,,,
1657765,Coconut,https://getcoconut.com,"The complete banking & accounting solution for self-employed people, freelancers and small businesses","58 City Rd, Old Street, London EC1Y 2AL",fintech,,,,,,
1448975,Cybersmart,http://cybersmart.co.uk,"Automated compliance - cyber essentials, IASME and GDPR certification","68 Hanbury St, Spitalfields, London E1 5JP",legal;security,,,,,,
1483011,Eversend,http://eversend.co,"Multi-currency e-wallet that allows you to exchange, spend and send money at the best possible rates","14 Rue Eugène Freyssinet, 75013 Paris, France",fintech,,,,,,
963456,Logically,https://www.logically.ai/,Fighting Problematic Content and Inauthentic Online Activity using Extended Intelligence,"12 Soho Square, Soho, London W1D 3QF",security;media,,,,,,
908061,Open Social,https://www.getopensocial.com,B2B SaaS platform for building online communities,"Singel 542, 1017 AZ Amsterdam, Netherlands",enterprise software,,,,,,
982574,NumberEight,https://www.numbereight.me/,AI-powered contextual intelligence,"208a Deptford High St, Deptford, London SE8 3PR",enterprise software,,,,,,
1448451,Wagestream,https://wagestream.com/,"Wagestream enables staff to draw down a percentage of their earned wages any day of the month for a flat fee, offering financial flexibility","High Holborn, London",fintech,,,,,,
1449035,Organise Platform,https://www.organise.org.uk,"Organise helps you to start, run, and win campaigns to change your workplace","Elder St, London E1 6BT",jobs recruitment,,,,,,
1617049,Synapse Medicine,https://synapse-medicine.com/,Artificial intelligence platform to manage drugs prescriptions,"17 Place des Martyrs de la Résistance, 33000 Bordeaux, France",health;enterprise software,,,,,,
1812858,Liftedcare,https://www.liftedcare.com,Care management platform using AI to support carer decision-making,"68 Hanbury St, Spitalfields, London E1 5JP",health,,,,,,
1481077,FinFrog,http://finfrog.fr,Smart personal loans / finfrog souffle un vent nouveau sur les prêts aux particuliers,"45 ter Rue des Acacias, 75017 Paris, France",fintech,,,,,,
975922,Influencer Marketing Hub,http://influencermarketinghub.com/,Platform for companies to connect with social media influencers,"Ryesgade, Copenhagen, Denmark",marketing,,,,,,
958928,Moona,http://getmoona.com,Is a revolutionary sleep device that actively improves sleep through temperature,"96bis Boulevard Raspail, 75006 Paris, France",health,,,,,,
968132,Hypno VR,http://hypnovr.io/,Developing virtual reality-based medical hypnosis solutions,"11 Rue de l'Académie, 67000 Strasbourg, France",health,,,,,,
926929,Libheros,https://www.libheros.fr/,Helps you find health professionals practicing at home,"28 Rue Beaubourg, 75003 Paris, France",health;home living,,,,,,
1813344,Serenmind,https://serenmind.com/,serenmind - la app para volver a sentirte bien,"Carrer de Sueca, 6, 46004 València, Valencia, Spain",health;wellness beauty,,,,,,
1465814,BrewBroker,http://brewbroker.com,"BrewBroker makes creating, scaling up and selling beer, aiming to open up and connect every part of the global beer industry","Kingsland Rd, London E8 4DG",food;marketing,,,,,,
933770,ZITICITY,https://ziticity.com/,Radically Faster Deliveries for Business,"Vilniaus g. 33, Vilnius 01402, Lithuania",transportation,,,,,,
906231,The Colvin Co,https://www.thecolvinco.com/,Online flower shop,"Av. de Roma, 157, 08011 Barcelona, Spain",home living,,,,,,
